emp_no,first_name,last_name,title,from_date,to_date
10009,Sumant,Peac,Assistant Engineer,1985-02-18,1990-02-18
10009,Sumant,Peac,Engineer,1990-02-18,1995-02-18
10009,Sumant,Peac,Senior Engineer,1995-02-18,9999-01-01
10020,Mayuko,Warwick,Engineer,1997-12-30,9999-01-01
10022,Shahaf,Famili,Engineer,1999-09-03,9999-01-01
10047,Zvonko,Nyanchama,Engineer,1989-03-31,1998-03-31
10047,Zvonko,Nyanchama,Senior Engineer,1998-03-31,9999-01-01
10063,Gino,Leonhardt,Senior Engineer,1989-04-08,9999-01-01
10066,Kwee,Schusler,Assistant Engineer,1986-02-26,1992-02-26
10066,Kwee,Schusler,Engineer,1992-02-26,1998-02-25
10066,Kwee,Schusler,Senior Engineer,1998-02-25,9999-01-01
10072,Hironoby,Sidou,Engineer,1989-05-21,1995-05-21
10072,Hironoby,Sidou,Senior Engineer,1995-05-21,9999-01-01
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01
10097,Remzi,Waschkowski,Senior Staff,1996-09-14,9999-01-01
10097,Remzi,Waschkowski,Staff,1990-09-15,1996-09-14
10101,Perla,Heyers,Staff,1998-10-14,2000-09-23
10106,Eben,Aingworth,Engineer,1991-10-27,1997-10-26
10106,Eben,Aingworth,Senior Engineer,1997-10-26,9999-01-01
10108,Lunjin,Giveon,Staff,1999-03-20,2001-10-20
10127,Subir,Baja,Senior Engineer,1991-05-17,9999-01-01
10131,Magdalena,Eldridge,Engineer,1999-09-17,1999-12-06
10163,Karsten,Szmurlo,Senior Staff,1992-02-02,9999-01-01
10219,Genta,Kolvik,Senior Staff,1993-03-31,9999-01-01
10229,Ulises,Takanami,Engineer,1996-02-20,2000-06-30
10237,Yannis,Mandell,Senior Staff,1997-08-11,2000-02-21
10237,Yannis,Mandell,Staff,1989-08-11,1997-08-11
10240,Remko,Maccarone,Engineer,1998-10-06,9999-01-01
10286,Saddek,Gopalakrishnan,Staff,1994-12-24,1999-01-24
10305,Hirochika,Piancastelli,Engineer,1988-10-31,1992-06-02
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,9999-01-01
10340,Djelloul,Laventhal,Staff,1988-03-30,1993-03-30
10355,Satyanarayana,Cochrane,Staff,1996-01-26,9999-01-01
10356,Vasilis,Standera,Senior Staff,1995-06-26,9999-01-01
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01
