emp_no,last_name,first_name,dept_name
10001,Facello,Georgi,Development
10018,Peha,Kazuhide,Development
10053,Zschoche,Sanjiv,Sales
10066,Schusler,Kwee,Development
10070,Garigliano,Reuven,Development
10072,Sidou,Hironoby,Development
10076,Ritzmann,Erez,Development
10088,Syrzycki,Jungsoon,Sales
10103,Birch,Akemi,Development
10116,Czap,Dayanand,Development
10129,Peir,Armond,Development
10134,Siprelle,Diederik,Development
10149,Perry,Xiadong,Sales
10150,Perng,Zhenbing,Development
10153,Majewski,Heekeun,Development
10157,Aloisi,Nigel,Development
10198,Furedi,Pranav,Development
10215,Duclos,Xiaobin,Sales
10258,Ishibashi,Basil,Development
10283,Birjandi,Kauko,Development
10302,Baer,Faiza,Sales
10305,Piancastelli,Hirochika,Development
10327,Facello,Roded,Development
10355,Cochrane,Satyanarayana,Sales
10395,Deverell,Takahiro,Development
10396,Rahier,Sibyl,Development
10404,Rosti,Prodip,Development
10426,Luce,Arunas,Development
10429,Improta,Martien,Development
10442,Unno,Volkmar,Sales
10463,Zaiane,Ung,Sales
10504,Varker,Xiong,Sales
10519,Alencar,Yonghoan,Development
10538,Falby,Przemyslawa,Development
10541,Eiter,Godehard,Sales
10548,Gunderson,Ramalingam,Sales
10623,Danlos,Aleksander,Development
10628,Krogh,Krisda,Development
10629,Francisci,Lalit,Sales
10631,Chaudhuri,Inderjeet,Development
10642,Narlikar,Hirochika,Development
10653,Feinberg,Otmar,Development
10676,Danley,Valeri,Development
10702,Szemeredi,Bader,Development
10718,Rullman,Adib,Development
10726,Minakawa,Zita,Development
10751,Ushiama,Jordanka,Development
10767,Doering,Monique,Sales
10791,Sgarro,Tadahiko,Development
10795,Naudin,Supot,Sales
10808,Leijenhorst,Chenxi,Development
10836,Leivant,Jianhua,Sales
10844,Koprowski,Dipayan,Development
10878,Deville,Lakshmi,Sales
10879,Chleq,Muzhong,Development
10895,Petersohn,Vishwani,Sales
10909,Atchley,Georgi,Development
10924,Atchley,Hironoby,Sales
10943,Skafidas,Berna,Development
10965,Braunschweig,Eckart,Sales
10969,Noriega,Premal,Development
10974,Papsdorf,Muneo,Development
10986,Schiper,Masako,Development
10988,Deyuan,Chinya,Development
10990,Foote,Shin,Development
11009,Axelband,Alper,Sales
11019,Huttel,Leon,Development
11042,Breugel,Gou,Development
11048,Demke,Jaques,Sales
11106,Iwayama,Aris,Development
11121,Kakkad,Vugranam,Development
11137,Luca,Hugh,Development
11146,Masand,Ishfaq,Sales
11162,Narlikar,Kauko,Development
11180,Bojadziev,Mitsuyuki,Development
11197,Fordan,Tadahiro,Sales
11207,Gips,Saeed,Development
11240,Condotta,Kiam,Development
11249,Cyre,Randi,Development
11275,Eppinger,Hitomi,Development
11290,Dredge,Visit,Development
11291,Glowinski,Gino,Development
11319,Marrakchi,Pranas,Development
11338,Hanratty,Kwangsub,Sales
11347,Jonsson,Anneli,Development
11380,Pelc,Kenroku,Development
11404,Borovoy,Bedrich,Development
11441,Aingworth,Marlo,Sales
11506,Picel,Rance,Sales
11509,Feldhoffer,Aleksander,Development
11515,Basawa,Ulf,Sales
11524,Standera,Xiadong,Development
11537,Pehl,DAIDA,Sales
11567,Mitzlaff,Teiji,Sales
11568,Fujisaki,Martins,Development
11615,Isaak,Shem,Sales
11628,Malinowski,Fan,Development
11640,Coorg,Valeri,Development
11647,Nitsche,Magy,Development
11660,Stenning,Gill,Sales
11696,Rothe,Dante,Sales
11746,Marrakchi,Koichi,Sales
11747,Kossowski,Aksel,Sales
11769,Lampe,Chandrasekaran,Development
11772,Penz,Gaurav,Development
11797,Thambidurai,Chenxi,Sales
11805,Grandbois,Rosine,Development
11810,Bhattacharjee,Amabile,Development
11813,Muhlberg,Gita,Sales
11817,Markovitch,Niranjan,Sales
11832,Zlotek,Arto,Development
11838,Nitta,Taiji,Sales
11844,Demeyer,Shawna,Development
11857,Farrag,Divier,Sales
11871,Sommen,Nalini,Development
11894,Validov,Mitchel,Development
11897,Setlzner,Cordelia,Sales
11906,Boguraev,Hideo,Development
11933,Erman,Basil,Development
11983,Hedayat,Jaana,Development
11988,Chinin,Chinya,Development
12011,Coorg,Zhilian,Sales
12033,Serot,Visit,Development
12036,Ratzlaff,Mads,Sales
12052,Khasidashvili,Masako,Development
12069,Burnard,Ayonca,Development
12070,Shokrollahi,Ger,Development
12076,Siprelle,Karlis,Sales
12082,Yamaashi,Xinan,Sales
12087,Jumpertz,Weijing,Development
12099,Kuzuoka,Nobuyoshi,Sales
12125,Erman,Shounak,Development
12128,Barreiro,Yannik,Sales
12149,Grandbois,Suebskul,Sales
12159,Perly,Shem,Development
12165,Maquelin,Xiaobin,Development
12205,Rossi,Sushant,Development
12206,Janetzko,Barton,Development
12221,Melter,Vincent,Development
12247,Penttonen,Subbu,Development
12249,Sadowski,Eldridge,Development
12264,Pagter,Mart,Development
12274,Papadias,Garnik,Development
12276,Lenart,Yongmin,Development
12311,Lubachevsky,Susanne,Development
12327,Bruckman,DAIDA,Development
12341,Luga,Rasiah,Development
12373,Driscoll,Mooi,Sales
12399,Luga,Mihalis,Sales
12411,Ibel,Shao,Sales
12415,Sluis,Uri,Sales
12451,Marzano,Pramod,Development
12454,Farris,Kerryn,Sales
12464,Milicic,Shai,Sales
12475,Roison,Filipe,Development
12478,Hopewell,Yahiko,Sales
12489,Munck,Arnould,Development
12490,Muchinsky,Jackson,Development
12493,Menhardt,Filipp,Development
12497,Penz,Stein,Sales
12514,Melter,Tomofumi,Development
12541,Nanard,Shih,Sales
12589,Chleq,Anoosh,Development
12601,Simkin,Ghassan,Development
12638,Seiwald,Yuqun,Development
12651,Bael,Pragnesh,Sales
12662,Alvarado,Leucio,Development
12663,Stellhorn,Nobuyoshi,Development
12664,Parveen,Zhonghua,Sales
12678,Borovoy,Carrsten,Development
12689,Boudaillier,Luerbio,Development
12709,Botman,Ronghao,Development
12726,Panwar,Fumitake,Development
12730,Perl,Barry,Development
12732,Takanami,Mara,Sales
12734,Frijda,Gil,Development
12759,Kuszyk,LiMin,Sales
