emp_no,first_name,last_name,title
10009,Sumant,Peac,Senior Engineer
10020,Mayuko,Warwick,Engineer
10022,Shahaf,Famili,Engineer
10047,Zvonko,Nyanchama,Senior Engineer
10063,Gino,Leonhardt,Senior Engineer
10066,Kwee,Schusler,Senior Engineer
10072,Hironoby,Sidou,Senior Engineer
10076,Erez,Ritzmann,Senior Engineer
10097,Remzi,Waschkowski,Senior Staff
10106,Eben,Aingworth,Senior Engineer
10127,Subir,Baja,Senior Engineer
10163,Karsten,Szmurlo,Senior Staff
10219,Genta,Kolvik,Senior Staff
10240,Remko,Maccarone,Engineer
10340,Djelloul,Laventhal,Senior Staff
10355,Satyanarayana,Cochrane,Staff
10356,Vasilis,Standera,Senior Staff
10372,Anneli,Frijda,Technique Leader
10387,Parto,Wrigley,Senior Staff
10413,Danel,Impagliazzo,Senior Staff
10418,Candida,Porotnikoff,Staff
10429,Martien,Improta,Senior Engineer
10451,Bodh,Ranta,Senior Engineer
10477,Guoxiang,Trogemann,Senior Engineer
10486,Amstein,Kossowski,Senior Engineer
10503,Dannz,Pell,Engineer
10529,Ymte,Yetto,Assistant Engineer
10548,Ramalingam,Gunderson,Senior Staff
10593,Falguni,Kenevan,Senior Engineer
10683,Guiseppe,Stranks,Senior Engineer
10696,Unal,Fendler,Technique Leader
10702,Bader,Szemeredi,Senior Engineer
10712,Uma,Koprowski,Senior Engineer
10814,Nidapan,Dymetman,Senior Staff
10826,Arnd,Anandan,Senior Engineer
10835,Tomoyuki,Kermarrec,Engineer
10846,Tokuyasu,Serre,Senior Engineer
10847,Theirry,Danley,Senior Staff
10858,Kenroku,Gonthier,Senior Engineer
10871,Aram,Gilg,Staff
10872,Karoline,Speel,Senior Staff
10873,Sukumar,Wegerle,Staff
10878,Lakshmi,Deville,Staff
10883,Shimshon,Champarnaud,Engineer
10906,Munehiro,Carrere,Staff
10913,Narain,Thummel,Staff
10942,Toshimitsu,Larfeldt,Engineer
10944,Remko,Zyda,Senior Engineer
10974,Muneo,Papsdorf,Senior Engineer
10987,Flemming,Baezner,Engineer
11037,Lansing,Maliniak,Senior Engineer
11048,Jaques,Demke,Senior Staff
11050,Elvis,Katiyar,Senior Staff
11051,Przemyslawa,Erol,Senior Engineer
11064,Shawna,Vieri,Senior Engineer
11070,Adib,Raney,Senior Engineer
11079,Piyush,Garigliano,Senior Engineer
11081,Barry,Boyle,Senior Staff
11091,Souichi,Ramsay,Engineer
11132,Kristin,Harnett,Senior Engineer
11158,Masaki,Hagimont,Senior Engineer
11170,Minghong,Cannard,Senior Engineer
11174,Akhilish,Milicia,Engineer
11180,Mitsuyuki,Bojadziev,Senior Engineer
11181,Hausi,Cullers,Engineer
11192,Apostol,Bahr,Engineer
11201,Jouko,Masaki,Staff
11208,Saniya,Valtorta,Technique Leader
11211,Yurij,Rissland,Senior Engineer
11233,Sanjit,Waschkowski,Senior Engineer
11253,Koldo,Pokrovskii,Senior Engineer
11322,Nathalie,Pocchiola,Senior Engineer
11325,Samphel,Rossi,Engineer
11326,Munenori,Plesums,Senior Engineer
11340,Aris,Bala,Senior Engineer
11376,Valery,Suomi,Senior Staff
11380,Kenroku,Pelc,Senior Engineer
11385,Shiv,Ullian,Engineer
11401,Huan,Merey,Staff
11469,Guttorm,Giaccio,Senior Engineer
11527,Alagu,Boyle,Staff
11531,Radhika,Motley,Technique Leader
11573,Pranas,Hutton,Senior Engineer
11596,Yannik,Gunderson,Staff
11606,Perry,Pepe,Senior Staff
11628,Fan,Malinowski,Senior Engineer
11644,Sanjit,Zaiane,Assistant Engineer
11676,Valeri,Ferriere,Engineer
11681,Fumitake,Benzmuller,Senior Engineer
11693,Hideo,Coorg,Senior Engineer
11713,Danel,Heusch,Senior Engineer
11737,Martina,Garnier,Assistant Engineer
11746,Koichi,Marrakchi,Senior Staff
11779,Shunichi,Thombley,Staff
11810,Amabile,Bhattacharjee,Senior Engineer
11829,Chaosheng,Pettis,Assistant Engineer
11832,Arto,Zlotek,Engineer
11836,Ortrud,Bakhtari,Senior Staff
11853,Zeljko,Kusakabe,Senior Staff
11864,Pradeep,Kriebel,Staff
11881,Arra,Staelin,Senior Staff
11888,Badri,Azulay,Senior Staff
11897,Cordelia,Setlzner,Senior Staff
11911,Ashish,Mondadori,Senior Engineer
11931,Gunilla,Chiodo,Senior Staff
11944,Along,Aumann,Senior Engineer
11945,Limsoon,Marakhovsky,Staff
11948,Yahiko,Nergos,Senior Engineer
12007,Marko,Dehkordi,Senior Engineer
12024,Mayumi,Lanzelotte,Staff
12028,Ingemar,Walstra,Senior Engineer
12043,Masaki,Lubachevsky,Staff
12093,Evgueni,Oxenboll,Senior Engineer
12102,Aron,Erde,Staff
12140,Xudong,Paciorek,Senior Staff
12165,Xiaobin,Maquelin,Senior Engineer
12186,Guther,Nooteboom,Senior Staff
12190,Abdulah,Engberts,Senior Engineer
12213,Kwangho,Brizzi,Senior Staff
12219,Junsik,Gadepally,Senior Staff
12230,Yuriy,Bellone,Engineer
12247,Subbu,Penttonen,Technique Leader
12249,Eldridge,Sadowski,Senior Engineer
12269,Mohammed,Whitcomb,Senior Engineer
12282,Tadahiro,Delgrange,Engineer
12308,Mototsugu,Cronau,Senior Staff
12317,Weiyi,Crabtree,Staff
12327,DAIDA,Bruckman,Senior Engineer
12328,Atilio,Prampolini,Staff
12338,Kagan,Besselaar,Staff
12343,Sorina,Slaats,Senior Staff
12394,Stevo,Reeken,Engineer
12411,Shao,Ibel,Senior Staff
12426,Shahaf,Valtorta,Technique Leader
12450,Sanjeeva,Perng,Senior Engineer
12468,Ioana,Baezner,Staff
12502,Danil,VanScheik,Senior Engineer
12514,Tomofumi,Melter,Engineer
12515,Pranav,Wilharm,Senior Engineer
12528,Conor,Cincotta,Senior Staff
12541,Shih,Nanard,Senior Staff
12571,Abdelaziz,Candan,Engineer
12586,Oguz,Tasistro,Senior Engineer
12589,Anoosh,Chleq,Senior Engineer
12597,Kazuhito,Petereit,Senior Staff
12635,Xinyu,Restivo,Senior Engineer
12639,Zeljko,Schapire,Senior Engineer
12644,Bernt,Jayawardene,Senior Engineer
12651,Pragnesh,Bael,Senior Staff
12662,Leucio,Alvarado,Engineer
12664,Zhonghua,Parveen,Staff
12670,Seongbae,Alameldin,Engineer
12691,Oddvar,Gils,Senior Engineer
12732,Mara,Takanami,Senior Staff
12734,Gil,Frijda,Senior Engineer
12753,Kazuhito,Syrotiuk,Senior Engineer
12773,Jenwei,Lovengreen,Senior Engineer
12774,Moon,Asrin,Engineer
12795,Masoud,Fordan,Senior Staff
12798,Lillian,Beeson,Senior Staff
12803,Gad,Boissier,Senior Staff
12821,Arco,Gihr,Engineer
12840,Zhensheng,Ferretti,Engineer
12857,Alagu,Gils,Senior Engineer
12865,Katsuyuki,Rothe,Senior Staff
12868,Berthier,Nanard,Senior Engineer
12869,Jacopo,Swiler,Staff
12885,Anwar,Collavizza,Senior Engineer
12889,Mayumi,Mukaidono,Engineer
12895,Roddy,Serot,Senior Engineer
12926,Heekeun,Luby,Senior Staff
12962,Paraskevi,Beerel,Senior Staff
12982,Sachem,Aamodt,Senior Engineer
12986,Khun,Hennebert,Senior Engineer
13004,Fan,Beznosov,Senior Engineer
13013,Heekeun,Baak,Engineer
13048,Kerhong,Massonet,Senior Engineer
13052,Aleksandar,Schlenzig,Senior Engineer
13054,Samphel,Masamoto,Senior Engineer
13103,Srinidhi,Ellozy,Senior Engineer
13144,Persi,Nollmann,Senior Staff
13156,Akeel,Millington,Senior Engineer
13200,Weidon,Pauthner,Senior Engineer
13216,Stabislas,Weedman,Staff
13227,Goncalo,Pell,Staff
13246,Adil,Siepmann,Staff
13288,Muneo,Broomell,Senior Staff
13291,Georg,Stamatiou,Senior Engineer
13303,Koldo,Rissanen,Staff
13343,Heon,Usery,Senior Staff
13378,Rafols,Zhiwei,Technique Leader
